stop_id,stop_name,stop_lat,stop_lon
STRADA-POSTA-VECHE-14101559982,Strada Poșta Veche,45.4423612,28.0403707
STRADA-POSTA-VECHE-14101559983,Strada Poșta Veche,45.4423008,28.0403305
STRADA-PRELUNGIREA-BRAILEI-14099845131,Strada Prelungirea Brăilei,45.4272806,28.0186932
STRADA-PRUNDULUI-6895570670,Strada Prundului,45.4630597,28.0369371
STRADA-PRUNDULUI-6896006860,Strada Prundului,45.4630080,28.0368426
STRADA-RADU-NEGRU-6895095244,Strada Radu Negru,45.4564418,28.0403786
STRADA-RADU-NEGRU-6896006856,Strada Radu Negru,45.4566782,28.0400876
STRADA-SERELOR-14103799417,Strada Serelor,45.5309027,28.0301606
STRADA-TECUCI-6899023180,Strada Tecuci,45.4394282,28.0362049
STRADA-TECUCI-6899129581,Strada Tecuci,45.4381813,28.0361388
STRADA-TRAIAN-VUIA-6898532659,Strada Traian Vuia,45.4579682,28.0222633
STRADA-VULTUR-6879824377,Strada Vultur,45.4483643,28.0529454
STRADA-VULTUR-6906785248,Strada Vultur,45.4465182,28.0454307
STRADA-VULTUR-6906838264,Strada Vultur,45.4464087,28.0453834
STRADA-ZAMBILELOR-14103873217,Strada Zambilelor,45.5424577,27.9968580
STRADA-ZAMBILELOR-14104248905,Strada Zambilelor,45.5423563,27.9968290
TEATRUL-DRAMATIC-6879824378,Teatrul dramatic,45.4413412,28.0561051
TIGLINA-1-529898235,Țiglina 1,45.4276057,28.0281282
TIGLINA-2-530776769,Țiglina 2,45.4279325,28.0280075
TIGLINA-3-1932184795,Țiglina 3,45.4265265,28.0138162
TIGLINA-3-1932184800,Țiglina 3,45.4267982,28.0143178
TIRIGHINA-14093112481,Tirighina,45.4083863,27.9942199
TIRIGHINA-14093112491,Tirighina,45.4084178,27.9939702
TRAIAN-PARC-14103649669,Traian Parc,45.4932136,28.0330040
TRECERE-BAC-6905457933,Trecere BAC,45.4167491,28.0327079
TREFO-6895095254,TREFO,45.4532279,28.0345214
TREFO-6896006848,TREFO,45.4548415,28.0346851
TRIBUNAL-6878887385,Tribunal,45.4261655,28.0380834
TUFANELELOR-14103873221,Tufanelelor,45.5344360,28.0083695
TUFANELELOR-14104199099,Tufanelelor,45.5343368,28.0083333
TULUC-14103903319,Tuluc,45.5103050,28.0320356
TULUC-14104228558,Tuluc,45.5103294,28.0319319
UNIVERSITATEA-DANUBIUS-6896665344,Universitatea Danubius,45.4037799,28.0152731
UNIVERSITATEA-DANUBIUS-6897986189,Universitatea Danubius,45.4037967,28.0160994
UNIVERSITATEA-DUNAREA-DE-JOS-530257449,Universitatea „Dunărea de Jos”,45.4392722,28.0565444
VISINULUI-14103873223,Vișinului,45.5315209,28.0099843
VISINULUI-14104199097,Vișinului,45.5314266,28.0100569
ZENNER-6892672447,Zenner,45.4093346,28.0111119
ZENNER-6893391125,Zenner,45.4091669,28.0113024
